Aql,99742,98103
Aql,98103,97278
Aql,97278,93747
Aql,93747,93747
Aql,93747,93244
Aql,97278,97649
Aql,97649,98036
Aql,98036,99473
Aql,97649,96229
Aql,96229,95501
Aql,95501,93805
And,113726,116631
And,116631,1366
And,1366,2912
And,2912,677
And,677,3092
And,3092,5447
And,5447,7513
And,7513,9640
And,116631,116805
And,116805,116584
And,3092,3693
And,5447,4436
And,4436,3881
And,3881,5434
And,5434,7607
Scl,4577,117452
Scl,117452,115102
Scl,115102,116231
Scl,116231,950
Scl,950,7955
Scl,7955,4577
Ara,85792,83153
Ara,83153,83081
Ara,83081,82363
Ara,82363,85727
Ara,85727,85267
Ara,85267,85258
Ara,85258,88714
Ara,88714,85792
Lib,77853,77060
Lib,77060,76333
Lib,76333,74785
Lib,74785,72622
Lib,72622,73714
Lib,76333,74392
Lib,74392,72622
Cet,11484,12706
Cet,12706,14135
Cet,14135,13954
Cet,13954,12828
Cet,12828,11484
Cet,11484,12387
Cet,12387,10826
Cet,10826,8645
Cet,8645,6537
Cet,6537,5364
Cet,5364,3419
Cet,3419,1562
Cet,10826,12770
Cet,8645,8497
Cet,8497,8102
Cet,8102,9347
Ari,9884,8903
Ari,8903,8832
Ari,8832,14838
Sct,92175,91117
Sct,91117,90595
Pyx,39429,42515
Pyx,42515,42828
Pyx,42828,43409
Boo,71075,73555
Boo,73555,74666
Boo,74666,72105
Boo,72105,69673
Boo,69673,71762
Boo,71762,71795
Boo,67459,67927
Boo,67927,69673
Boo,69673,71053
Boo,71053,71075
Boo,71075,69732
Boo,69732,70497
Boo,74666,75411
Cae,21060,21770
Cae,21770,21861
Cae,21861,21060
Cha,40702,51839
Cha,51839,60000
Cha,60000,52633
Cha,52633,40888
Cha,40888,40702
Cnc,43103,42806
Cnc,42806,42911
Cnc,42911,44066
Cnc,42911,41822
Cnc,41822,40526
Cnc,42806,41909
Cnc,41909,41822
Cap,100027,100345
Cap,100345,100881
Cap,100881,102485
Cap,102485,102978
Cap,102978,104234
Cap,104234,105881
Cap,105881,106723
Cap,106723,106985
Cap,106985,105515
Cap,105515,104139
Cap,104139,100345
Cap,106985,107556
Car,30438,38827
Car,38827,41037
Car,41037,45556
Car,45556,50371
Car,50371,51576
Car,51576,52419
Car,52419,50099
Car,50099,45238
Car,45238,30438
Car,45238,48002
Car,48002,45556
Cas,8886,6686
Cas,6686,4427
Cas,4427,3179
Cas,3179,746
Cen,70300,68933
Cen,68933,72010
Cen,72010,71865
Cen,71865,70300
Cen,70300,68862
Cen,68862,68245
Cen,67464,67472
Cen,67472,68282
Cen,68282,68523
Cen,68523,68002
Cen,68002,62867
Cen,62867,61932
Cen,61932,60823
Cen,60823,59196
Cen,59196,55425
Cen,55425,56561
Cen,68002,66657
Cen,73334,71352
Cen,71352,68245
Cen,68245,67464
Cen,67464,65936
Cen,65936,65109
Cen,65109,62896
Cen,68702,66657
Cen,66657,71683
Cep,101093,102422
Cep,102422,105199
Cep,105199,106032
Cep,106032,116727
Cep,116727,112724
Cep,112724,109492
Cep,109492,105199
Cep,109492,109857
Cep,109857,110991
Com,64241,64394
Com,64394,60742
Cvn,63121,61317
Aur,25428,28380
Aur,28380,28360
Aur,28360,24608
Aur,24608,23015
Aur,23015,23015
Aur,23015,25428
Aur,24608,23416
Aur,23416,23767
Aur,23416,23453
Col,25859,26634
Col,26634,27628
Col,27628,28199
Col,28199,29807
Col,29807,30277
Col,27628,28328
Cir,75323,71908
Cir,71908,74824
Crt,58188,57283
Crt,57283,55705
Crt,55705,54682
Crt,54682,53740
Crt,53740,55282
Crt,55282,55687
Crt,55687,56633
Crt,56633,58188
CrA,91875,93174
CrA,93174,93825
CrA,93825,94114
CrA,94114,94160
CrA,94160,94005
CrA,94005,93542
CrB,76127,75695
CrB,75695,76267
CrB,76267,76952
CrB,76952,77512
CrB,77512,78159
CrB,78159,78493
Crv,59199,59316
Crv,59316,59803
Crv,59803,60965
Crv,60965,61359
Crv,61359,59316
Cru,60718,61084
Cru,62434,59747
Cyg,94779,95853
Cyg,95853,96441
Cyg,96441,97165
Cyg,97165,100453
Cyg,100453,102488
